Date,Year,IBM,AAPL,MSFT,XRX,AMZN,DELL,GOOGL,ADBE,^GSPC,^IXIC
01/10/93,1993,6.105024338,0.228055239,1.573842287,19.34462547,,,,2.613724232,467.8299866,779.2600098
01/11/93,1993,7.150176048,0.233617142,1.571387172,20.10743332,,,,2.786593437,461.7900085,754.3900146
04/11/93,1993,,,,,,,,,,
01/12/93,1993,7.535686016,0.217710063,1.583663464,22.01595688,,,,2.681154966,466.4500122,776.7999878
01/01/94,1994,7.535686016,0.24376072,1.672054648,24.17136192,,,,3.645165443,481.6099854,800.4699707
01/02/94,1994,7.052198887,0.271672219,1.620492935,23.89422989,,,,3.531084299,467.1400146,792.5
04/02/94,1994,,,,,,,,,,
01/03/94,1994,7.31842041,0.248371467,1.664688587,23.7061615,,,,2.927479744,445.769989,743.460022
01/04/94,1994,7.703606129,0.224094361,1.816917181,24.54394913,,,,3.235444069,450.9100037,733.8400269
01/05/94,1994,8.440468788,0.218492419,2.111552,24.94730759,,,,3.477348089,456.5,735.1900024
05/05/94,1994,,,,,,,,,,
01/06/94,1994,7.905290127,0.198731616,2.028071165,24.44464302,,,,3.295920372,444.269989,705.960022
01/07/94,1994,8.325791359,0.252632767,2.023160934,25.56996346,,,,3.756444216,458.2600098,722.1599731
01/08/94,1994,9.217235565,0.271381557,2.283422232,26.78907776,,,,3.847325563,475.4899902,765.6199951
04/08/94,1994,,,,,,,,,,
01/09/94,1994,9.405942917,0.253507912,2.204853296,26.88198471,,,,3.938208103,462.7099915,764.289978
01/10/94,1994,10.06452656,0.324998677,2.474935293,25.81173515,,,,4.368794918,472.3500061,777.4899902
01/11/94,1994,9.55792141,0.280316681,2.470024824,24.74147987,,,,4.00472641,453.6900024,750.3200073
04/11/94,1994,,,,,,,,,,
01/12/94,1994,9.963320732,0.294368684,2.401276112,25.12115479,,,,3.610324144,459.269989,751.960022
01/01/95,1995,9.776929855,0.304747313,2.332528591,27.75380898,,,,3.511722326,470.4200134,755.2000122
01/02/95,1995,10.2005415,0.298143327,2.474935293,28.13443947,,,,4.34546566,487.3900146,793.7299805
06/02/95,1995,,,,,,,,,,
01/03/95,1995,11.16990376,0.266795576,2.794122696,29.98991776,,,,6.016797066,500.7099915,817.210022
01/04/95,1995,12.87004375,0.289501876,3.211522818,31.52293587,,,,7.087426186,514.710022,843.9799805
01/05/95,1995,12.64902306,0.314573169,3.326920748,28.96788216,,,,6.3269701,533.4000244,864.5800171
04/05/95,1995,,,,,,,,,,
01/06/95,1995,13.0917902,0.352445304,3.550352812,30.15083122,,,,7.05700779,544.75,933.4500122
01/07/95,1995,14.84758663,0.341535062,3.555264235,30.69727707,,,,7.513277531,562.0599976,1001.210022
01/08/95,1995,14.09753132,0.326355875,3.633834362,31.08300018,,,,6.210629463,561.8800049,1020.109985
08/08/95,1995,,,,,,,,,,
01/09/95,1995,12.91688156,0.283486396,3.555264235,34.7671814,,,,6.301961899,584.4099731,1043.540039
01/10/95,1995,13.29276466,0.276352078,3.928469419,33.53819656,,,,6.94129324,581.5,1036.060059
01/11/95,1995,13.20734787,0.290145814,3.422677279,35.47869492,,,,8.243063927,605.3699951,1059.199951
08/11/95,1995,,,,,,,,,,
01/12/95,1995,12.52143669,0.24333632,3.447230816,35.68303299,,,,7.557409763,615.9299927,1052.130005
01/01/96,1996,14.86814308,0.210891888,3.633834362,32.19937134,,,,4.144385338,636.0200195,1059.790039
01/02/96,1996,16.80373764,0.209937692,3.876908779,33.92492294,,,,4.089058876,640.4299927,1100.050049
07/02/96,1996,,,,,,,,,,
01/03/96,1996,15.27826786,0.187512323,4.051232815,32.90036011,,,,3.93648386,645.5,1101.400024
01/04/96,1996,14.79759884,0.186080962,4.448990822,38.40559769,,,,5.248644829,654.1699829,1190.52002
01/05/96,1996,14.66026402,0.199440613,4.665056705,41.25652313,,,,4.538435459,669.1199951,1243.430054
08/05/96,1996,,,,,,,,,,
01/06/96,1996,13.64102936,0.160315856,4.719073296,42.07575226,,,,4.385625839,670.6300049,1185.02002
01/07/96,1996,14.81223392,0.167950332,4.630680561,39.83602142,,,,3.713264465,639.9500122,1080.589966
01/08/96,1996,15.75953293,0.185126752,4.812370777,43.39458847,,,,4.26929903,651.9899902,1141.5
07/08/96,1996,,,,,,,,,,
01/09/96,1996,17.20958328,0.169381618,5.180670261,42.40607834,,,,4.560038567,687.3300171,1226.920044
01/10/96,1996,17.83161354,0.175583899,5.391822815,36.86507034,,,,4.244296074,705.2700195,1221.51001
01/11/96,1996,22.03032875,0.184172586,6.16278553,38.95176315,,,,4.841867924,757.0200195,1292.609985
06/11/96,1996,,,,,,,,,,
01/12/96,1996,20.99819756,0.159361646,6.491794109,41.83340073,,,,4.581387997,740.7399902,1291.030029
01/01/97,1997,21.74318314,0.126917168,8.014075279,46.8797493,,,,4.64267683,786.1599731,1379.849976
01/02/97,,19.9240284,0.124053702,7.660515785,49.97840881,,,,4.479821205,790.8200073,1309
06/02/97,,,,,,,,,,,
01/03/97,,19.06798363,0.139321744,7.203826904,45.48035812,,,,4.924733639,757.1199951,1221.699951
01/04/97,,22.29808426,0.129779756,9.546177864,49.43133926,,,,4.807621956,801.3400269,1260.76001
01/05/97,,24.03470421,0.126917168,9.742606163,54.45485306,,,,5.483453751,848.2800293,1400.319946
07/05/97,,,,,,,,,,,
28/05/97,,,,,,,,,,,
01/06/97,,25.13742447,0.108785644,9.929201126,63.39670563,0.077082999,,,4.308428288,885.1400146,1442.069946
01/07/97,,29.4546566,0.133596525,11.10774612,66.42845917,0.119791999,,,4.592585564,954.3099976,1593.810059
01/08/97,,28.23609161,0.166041031,10.38588715,60.97687912,0.116926998,,,4.85173893,899.4699707,1587.319946
07/08/97,,,,,,,,,,,
01/09/97,,29.57911682,0.165563986,10.39571095,67.99326324,0.216927007,,,6.207145214,947.2800293,1685.689941
01/10/97,,27.48627281,0.130018294,10.21401882,64.32245636,0.254166991,,,5.889601707,914.6199951,1593.609985
01/11/97,,30.55580521,0.135504946,11.11756897,63.00460434,0.206249997,,,5.180382252,955.4000244,1600.550049
06/11/97,,,,,,,,,,,
01/12/97,,29.25237274,0.100197829,10.15508938,59.91267014,0.251042008,,,5.087874889,970.4299927,1570.349976
01/01/98,1998,27.60976982,0.139798865,11.72157001,65.4463501,0.245832995,,,4.750911236,980.2800293,1619.359985
01/02/98,1998,29.19993782,0.180355757,13.31750584,72.36756134,0.320832998,,,5.45275116,1049.339966,1770.51001
06/02/98,1998,,,,,,,,,,
01/03/98,1998,29.10112953,0.209937692,14.06391716,86.66805267,0.356379986,,,5.576151371,1101.75,1835.680054
01/04/98,1998,32.46300125,0.208983541,14.16212845,92.79229736,0.382292002,,,6.177727699,1111.75,1868.410034
01/05/98,1998,32.91825104,0.203257456,13.32732964,84.10579681,0.367188007,,,4.930263519,1090.819946,1778.869995
06/05/98,1998,,,,,,,,,,
01/06/98,1998,32.22550201,0.219002619,17.02991104,83.08383179,0.831250012,,,5.238887787,1133.839966,1894.73999
01/07/98,1998,37.19002914,0.264330596,17.27544403,86.60829926,0.923958004,,,3.988961935,1120.670044,1872.390015
01/08/98,1998,31.61152077,0.238088265,15.07549381,72.04536438,0.697916985,,,3.241923809,957.2800293,1499.25
06/08/98,1998,,,,,,,,,,
01/09/98,1998,36.12905502,0.291049749,17.29507637,69.53275299,0.930208027,,,4.283971786,1017.01001,1693.839966
01/10/98,1998,41.75224686,0.283415347,16.63706779,80.36154175,1.053645968,,,4.59221077,1098.670044,1771.390015
01/11/98,1998,46.42652512,0.24381344,19.17092896,88.54693604,1.600000024,,,5.535391331,1163.630005,1949.540039
06/11/98,1998,,,,,,,,,,
01/12/98,1998,51.91548538,0.312520057,21.79318047,97.19573975,2.677083015,,,5.782783031,1229.22998,2192.689941
01/01/99,1999,51.59874725,0.314429402,27.49927139,102.4712067,2.923438072,,,5.91291666,1279.640015,2505.889893
01/02/99,1999,47.79748154,0.265761852,23.5904541,91.21175385,3.203125,,,4.984185219,1238.329956,2288.030029
08/02/99,1999,,,,,,,,,,
01/03/99,1999,49.9755249,0.274350494,28.16712189,88.21611786,4.304687977,,,7.027392387,1286.369995,2461.399902
01/04/99,1999,58.98025894,0.351167798,25.55468941,97.44929504,4.301562786,,,7.85466671,1335.180054,2542.860107
01/05/99,1999,65.41220093,0.336376905,25.35825539,93.1988678,2.96875,,,9.187017441,1301.839966,2470.52002
06/05/99,1999,,,,,,,,,,
27/05/99,1999,,,,,,,,,,
01/06/99,1999,72.96644592,0.353553325,28.34391022,97.96764374,3.128124952,,,10.18240833,1372.709961,2686.120117
01/07/99,1999,70.95524597,0.425123423,26.96893311,81.35432434,2.501563072,,,10.63402367,1328.719971,2638.48999
01/08/99,1999,70.32015991,0.498124003,29.09030151,79.79384613,3.109375,,,12.35469151,1320.410034,2739.350098
06/08/99,1999,,,,,,,,,,
01/09/99,1999,68.3756485,0.48333317,28.46175194,69.80661774,3.996875048,,,14.07535458,1282.709961,2746.159912
01/10/99,1999,55.51985931,0.611681521,29.09030151,47.42917252,3.53125,,,17.35419464,1362.930054,2966.429932
01/11/99,1999,58.23934937,0.747186542,28.61397552,45.75767136,4.253125191,,,17.04402161,1388.910034,3336.159912
08/11/99,1999,,,,,,,,,,
01/12/99,1999,61.04003143,0.784879982,36.69190598,37.92245102,3.806250095,,,16.68732643,1469.25,4069.310059
01/01/00,2000,63.51556015,0.792036653,30.75990105,35.14961243,3.228125095,,,13.66824436,1394.459961,3940.350098
01/02/00,2000,58.14006042,0.875057817,28.08855057,36.62297058,3.443749905,,,25.31960106,1366.420044,4696.689941
08/02/00,2000,,,,,,,,,,
01/03/00,2000,67.05181885,1.036804795,33.3919754,43.77917862,3.349999905,,,27.63125801,1498.579956,4572.830078
01/04/00,2000,63.15762329,0.947104275,21.92085266,45.03520966,2.759375095,,,30.02784729,1452.430054,3860.659912
01/05/00,2000,60.78564072,0.641263425,19.6619854,46.09734726,2.415625095,,,27.9484024,1420.599976,3400.909912
08/05/00,2000,,,,,,,,,,
01/06/00,2000,62.13500214,0.799670875,25.14219475,35.52905655,1.815624952,,,32.27798462,1454.599976,3966.110107
01/07/00,2000,63.6591301,0.775814176,21.94049263,25.79067039,1.506250024,,,28.43518829,1430.829956,3766.98999
01/08/00,2000,74.86860657,0.930404902,21.94049263,27.82395363,2.075000048,,,32.28449631,1517.680054,4206.350098
08/08/00,2000,,,,,,,,,,
01/09/00,2000,63.9432869,0.393155307,18.95485497,25.98057556,1.921875,,,38.55513763,1436.51001,3672.820068
01/10/00,2000,55.92375183,0.298683375,21.64586258,14.61407185,1.831249952,,,37.78543091,1429.400024,3369.629883
01/11/00,2000,53.08496857,0.251925081,18.03167152,12.01601696,1.234375,,,31.48268318,1314.949951,2597.929932
08/11/00,2000,,,,,,,,,,
01/12/00,2000,48.32046127,0.227114201,13.63178158,8.067792892,0.778124988,,,28.90570068,1320.280029,2470.52002
01/01/01,2001,63.66932297,0.330174595,19.19056892,14.2516489,0.865625024,,,21.70255661,1366.01001,2772.72998
01/02/01,2001,56.79076767,0.278644383,18.54237175,10.53610229,0.509374976,,,14.44054985,1239.939941,2151.830078
07/02/01,2001,,,,,,,,,,
01/03/01,2001,54.73835754,0.336968601,17.18704605,10.53566742,0.511500001,,,17.37586594,1160.329956,1840.26001
01/04/01,2001,65.52893829,0.389186233,21.29229546,15.90023899,0.788999975,,,22.32872772,1249.459961,2116.23999
01/05/01,2001,63.62804413,0.30460003,21.74171448,17.4304657,0.834500015,,,19.76877975,1255.819946,2110.48999
08/05/01,2001,,,,,,,,,,
01/06/01,2001,64.67370605,0.354985476,22.94225121,16.83243752,0.707499981,,,23.36264801,1224.380005,2160.540039
01/07/01,2001,59.94994736,0.286889374,20.80202293,14.03582954,0.624499977,,,18.64079094,1211.22998,2027.130005
01/08/01,2001,56.9527626,0.283224702,17.929533,16.18165398,0.446999997,,,16.71157837,1133.579956,1805.430054
08/08/01,2001,,,,,,,,,,
01/09/01,2001,52.33213425,0.236809179,16.08157539,13.63128948,0.298500001,,,11.9233427,1040.939941,1498.800049
